text,label
"san pham ban phim co hai long, gia cong on; giao nhanh.",positive
"Dùng văn phòng thì được , vỏ máy khá",neutral
"âm thanh tạm , pin chưa ổn , còn lại không nổi bật",neutral
"sản phẩm laptop rất kinh khủng, gia công cực kinh khủng; phản hồi chậm, rất bực mình.",very_negative
"dien thoai gia cao, nhiet do chua tot; dong goi au.",negative
"Mua với giá cao , ổn thôi",neutral
"máy tính bảng quá tuyệt vời, dịch vụ nổi bật, hỗ trợ tốt; rất đáng tiền.",very_positive
đóng gói ổn ; pin kém ; âm thanh không tốt,neutral
"san pham may in rat te, dich vu cuc kem; ho tro kem, trai nghiem :neg_emoji: hai.",very_negative
"Dùng văn phòng thì không nổi bật , vỏ máy tạm",neutral
"Xiaomi sản phẩm loa bluetooth kinh khủng, chất âm cực kém; giao chậm, hỏng ngay khi mở hộp. , pin chưa ổn",very_negative
"máy tính bảng nóng, hiệu năng chưa tốt; hỗ trợ kém.",negative
"So với Samsung thì camera tốt , nhìn chung ổn thôi",neutral
"Giao hàng khá nhanh , đóng gói không tốt , chất lượng bình thường",neutral
"chuột không dây quá rất đáng tiền, độ bền nổi bật, hỗ trợ rất đáng tiền; mình cực kỳ ưng.",very_positive
"chuột không dây không như kỳ vọng, hiệu năng chưa tốt; đóng gói ẩu.",negative
"sản phẩm tai nghe rất ổn, chất âm ổn; đúng lịch. , chất liệu tốt",positive
"Dùng văn phòng thì không nổi bật , chất liệu bình thường",neutral
"san pham laptop nen mua, cam giac su dung on; giao nhanh.",positive
"sản phẩm điện thoại thảm họa, màn hình cực kém; đóng gói ẩu, muốn hoàn tiền ngay.",very_negative
"tivi khó kết nối, pin chưa tốt; giao chậm.",negative
"robot hút bụi không như kỳ vọng, nhiệt độ chưa tốt; hỗ trợ kém.",negative
"sản phẩm máy in mượt mà, màn hình đáng tiền; giao nhanh. 😊",positive
"loa bluetooth dong goi so sai, nhiet do chua tot; giao cham.",negative
"sản phẩm bàn phím cơ tốt, giao hàng ổn; phản hồi nhiệt tình.",positive
"sản phẩm điện thoại cực kỳ thất vọng, màn hình cực kém; phản hồi chậm, muốn hoàn tiền ngay.",very_negative
"laptop vượt xa mong đợi, dịch vụ nổi bật, hỗ trợ tốt; sẽ mua lại.",very_positive
"san pham laptop tham hoa, dong goi cuc kem; ho tro kem, hong ngay khi mo hop.",very_negative
"Dell sản phẩm máy tính bảng nên mua, chất âm ổn; hỗ trợ tốt. , âm thanh được",positive
"sản phẩm máy tính bảng :neg_emoji: hại, thiết kế cực kém; phản hồi chậm, muốn hoàn tiền ngay.",very_negative
"Dùng 1 tháng thì đóng gói khá , còn lại khá ổn",neutral
"bàn phím cơ giá cao, bảo hành chưa tốt; phản hồi chậm.",negative
"dong ho không nổi bật, giá hợp lý. 😐 normal",neutral
"sản phẩm sạc dự phòng không nên mua, kết nối cực kém; giao chậm, rất bực mình.",very_negative
Trải nghiệm không nổi bật ; giao hàng khá ; màu sắc được,neutral
"chuột không dây quá tuyệt vời, giao hàng nổi bật, đúng lịch; sẽ mua lại.",very_positive
"sản phẩm màn hình kinh khủng, chất âm cực kém; hỗ trợ kém, hỏng ngay khi mở hộp.",very_negative
"laptop đủ dùng, đúng hẹn.",neutral
"tai nghe nóng, cảm giác sử dụng chưa tốt; hỗ trợ kém.",negative
"máy lọc không khí tuyệt hảo, gia công nổi bật, giao nhanh; sẽ giới thiệu cho bạn bè.",very_positive
Trải nghiệm không nổi bật ; chất liệu kém ; màu sắc khá,neutral
"sản phẩm tai nghe mượt mà, độ đáng tiền định đáng tiền; đúng lịch.",positive
"So với MSI khác thì giao hàng không nổi bật , tổng thể khá ổn",neutral
"tivi vượt xa mong đợi, pin nổi bật, đóng gói cẩn thận; rất đáng tiền.",very_positive
"máy ảnh nóng, màn hình chưa tốt; phản hồi chậm.",negative
"tivi khó kết nối, độ bền chưa tốt; giao chậm. nope",negative
"Apple chuột không dây đủ dùng, liên hệ bình thường.",neutral
"đóng gói tạm , pin kém , còn lại tạm ổn",neutral
"san pham tivi khong nen mua, bao hanh cuc kem; phan hoi cham, rat buc minh.",very_negative
"sản phẩm loa bluetooth hỏng ngay lần đầu, pin cực kém; phản hồi chậm, rất bực mình.",very_negative
"sản phẩm máy ảnh yêu cầu hoàn tiền, hiệu năng cực kém; đóng gói ẩu, hỏng ngay khi mở hộp.",very_negative
"sản phẩm robot hút bụi yêu cầu hoàn tiền, gia công cực kém; đóng gói ẩu, hỏng ngay khi mở hộp.",very_negative
"Sony điện thoại giá cao, bảo hành chưa tốt; hỗ trợ kém.",negative
"sản phẩm laptop cực kỳ thất vọng, thiết kế cực kém; phản hồi chậm, rất bực mình.",very_negative
"màn hình đỉnh của chóp, kết nối nổi bật, phản hồi nhiệt tình; mình cực kỳ ưng.",very_positive
"So với Sony thì phụ kiện tạm , nhìn chung được",neutral
"sản phẩm màn hình rất tệ, pin cực kém; đóng gói ẩu, hỏng ngay khi mở hộp.",very_negative
"Dùng văn phòng thì mức trung bình , pin tốt",neutral
"Sử dụng vài ngày thấy giao hàng khá , còn lại bình thường",neutral
"sản phẩm điện thoại rất tệ, bảo hành cực kém; giao chậm, muốn hoàn tiền ngay.",very_negative
"Dùng 1 tuần thì chất liệu ổn , còn lại được",neutral
bàn phím tốt ; pin chưa ổn ; âm thanh không nổi bật,neutral
"HP điện thoại đúng như mô tả, đúng hẹn.",neutral
"chuột không dây pin tụt nhanh, đóng gói chưa tốt; hỗ trợ kém.",negative
"Sony máy ảnh quá tuyệt vời, độ ổn định nổi bật, đóng gói cẩn thận; rất đáng tiền.",very_positive
"sản phẩm chuột không dây tốt, độ bền ổn; hỗ trợ tốt. , màn hình tạm",positive
"ban phim co qua tuyet voi, cam giac su dung noi bat, dong goi can than; minh cuc ky ung.",very_positive
"máy ảnh gia công kém, độ ổn định chưa tốt; giao chậm.",negative
"sản phẩm màn hình không nên mua, gia công cực rất thất vọng; hỗ trợ rất thất vọng, trải nghiệm :neg_emoji: hại. bad",very_negative
"sản phẩm máy ảnh cực kỳ thất vọng, thiết kế cực kém; giao chậm, muốn hoàn tiền ngay.",very_negative
"sản phẩm tivi yêu cầu hoàn tiền, chất âm cực kém; phản hồi chậm, hỏng ngay khi mở hộp.",very_negative
"sản phẩm máy ảnh lừa đảo, dịch vụ cực kém; phản hồi chậm, hỏng ngay khi mở hộp.",very_negative
"sản phẩm đồng hồ thông minh đáng tiền, nhiệt độ ổn; đúng lịch.",positive
"Lenovo sản phẩm sạc dự phòng cực kỳ thất vọng, dịch vụ cực kém; giao chậm, hỏng ngay khi mở hộp.",very_negative
"Giao hàng khá nhanh , đóng gói chưa ổn , chất lượng được",neutral
"sản phẩm máy lọc không khí tốt, bảo hành ổn; giao nhanh.",positive
"sản phẩm máy in hài lòng, chất âm ổn; giao nhanh. , vỏ máy khá",positive
"Dùng vài ngày thì âm thanh kém , còn lại ổn thôi",neutral
"sản phẩm robot hút bụi nên mua, màn hình ổn; hỗ trợ tốt.",positive
"màn hình được , hiệu năng kém , nhìn chung khá ổn 😐",neutral
"Samsung sản phẩm đồng hồ thông minh tốt, màn hình ổn; đúng lịch. , vỏ máy ổn",positive
